customer_id,customer_name,email,phone,address,area,pincode,registration_date,customer_segment,total_orders,avg_order_value
74924294,Anvi Contractor,patrick62@example.org,9.19082E+11,"H.No. 88, Kalita Circle, Ranchi 952943",Hyderabad,172072,6/16/2024,Premium,14,560.54
84546788,Priya Wable,rmanne@example.net,9.12529E+11,"H.No. 918, Lalla Nagar, Akola 962855",Orai,904151,3/8/2023,Inactive,8,1436.46
54290117,Qasim Baral,sidhusanaya@example.org,9.18239E+11,"626, Bhatt Road
Singrauli-432467",Parbhani,791869,12/21/2023,Premium,20,1865.32
22880814,Darika Lala,nsalvi@example.net,9.15617E+11,"69/54, Gala Road, Muzaffarpur-085654",Kishanganj,46781,6/19/2024,Premium,2,226.82
93202865,Darsh Sur,subramaniambhavani@example.org,9.11866E+11,"395
Pall Zila, Etawah 720860",Begusarai,831118,3/4/2024,Inactive,2,460.96
41709672,Pahal Taneja,tanay35@example.net,9.14438E+11,"372, Devi Nagar
Davanagere-362327",Ambala,662338,10/16/2024,Inactive,9,433.27
16724944,Varenya Hans,daksh78@example.com,9.14249E+11,"H.No. 611, Chatterjee Nagar
Maheshtala-326795",Thrissur,69100,3/11/2025,New,1,501.14
64264771,Riya Thakur,owenjohal@example.org,9.11049E+11,"729, Reddy Ganj
Amritsar 162015",Patiala,486359,12/16/2023,Premium,7,1788.02
79121549,Liam Mitra,shauryasule@example.org,9.14362E+11,"08/91
Shere Circle
Dhanbad 165776",Berhampore,649758,1/29/2023,Regular,1,1229.62
22177130,Samesh Ramanathan,jairajranganathan@example.net,9.18115E+11,"71
Ravi
Rajkot-960175",Amravati,719419,9/18/2023,Regular,3,514.22
7222824,Yagnesh Sane,yashvi96@example.net,9.19364E+11,"H.No. 78
Ratta Chowk
Khandwa-181090",Davanagere,390672,10/10/2024,New,11,1720.57
48716626,Hitesh Misra,pbadami@example.org,9.12913E+11,"73/337, Khanna Circle
Rampur 345149",Jamalpur,402097,6/18/2023,Premium,4,914.53
34272108,Unni Modi,jbawa@example.com,9.19419E+11,"H.No. 56, Rai Street, Phusro-444399",Kochi,552742,4/15/2024,Premium,16,599.19
92148708,Lopa Hora,ghoseurvi@example.org,9.18422E+11,"08/471, Cheema Circle, Buxar-918866",Panipat,306849,7/22/2025,Regular,9,1314.16
45216144,Yash Mody,andrew18@example.com,9.1977E+11,"71/29, Raju Nagar, Etawah 520616",Gangtok,1834,2/13/2023,Regular,8,1496.98
82522748,Yahvi Sethi,jananiyogi@example.com,9.12524E+11,"53
Borra Path, Malda-161820",Madhyamgram,682549,5/24/2023,Regular,6,543.6
30560408,Madhavi Rajan,xdasgupta@example.org,9.13127E+11,"29/61, Pillai Road, Rajahmundry 571422",Tadipatri,424730,5/19/2025,Premium,6,1227.73
98585872,Mekhala Acharya,bnagarajan@example.org,9.15879E+11,"53, Kulkarni Circle, Bharatpur-772341",Bhopal,906329,5/21/2024,Regular,3,1834.72
27105138,Abhimanyu Brahmbhatt,arin56@example.org,9.13815E+11,"089
Raghavan, Jalna 096439",Bhubaneswar,591539,4/4/2025,Inactive,6,1311.85
72775308,Pranit Dalal,sharafethan@example.net,9.1292E+11,"562, Balay Marg, Guwahati 492482",Unnao,775317,2/28/2023,Regular,19,679.86
60091660,Harsh Kata,utaneja@example.com,9.16295E+11,"H.No. 705, Gopal, Hubli–Dharwad 891430",Alappuzha,934230,1/18/2025,New,1,1710.87
83124911,Saumya Deol,rajagopalansamesh@example.net,9.17828E+11,"H.No. 498, Varma Path
Eluru 558339",Suryapet,244305,11/16/2023,Premium,15,1610.76
97084595,Hema Sidhu,fparmer@example.net,9.19139E+11,"247
Singh Path, Dewas-824270",Tiruvottiyur,687129,8/19/2023,Regular,16,1119.72
48840423,Abha Bhatia,choudhryjagrati@example.net,9.155E+11,"H.No. 98
Pradhan Circle
Madhyamgram-101462",Chandrapur,691706,3/15/2025,New,19,1558.53
96381974,Ayaan Sunder,jack50@example.org,9.18844E+11,"H.No. 50
Aurora, Raurkela Industrial Township-223321",Bangalore,549299,5/11/2024,New,3,1780.61
11010787,Urmi Dasgupta,uloke@example.org,9.10821E+11,"H.No. 16
Dhar Zila
Jorhat-620853",Kakinada,27324,11/23/2023,Inactive,17,1058
23685481,Bhavya Singh,deytanmayi@example.com,9.17356E+11,"75/055
Pant Zila, Yamunanagar-216907",Warangal,208883,2/25/2023,Inactive,18,612.38
19696180,Odika Mahal,yashasvi49@example.net,9.19297E+11,"H.No. 21, Bains Chowk, Ramgarh-431363",Warangal,847400,6/23/2025,New,3,1585.91
20530487,Peter Shanker,dayitabhattacharyya@example.com,9.11114E+11,"71/55, Bedi Circle, Amravati-054110",Kalyan-Dombivli,514463,8/18/2025,Premium,8,796.31
88986523,Vasana Virk,chaaya47@example.net,9.1092E+11,"H.No. 622, Som Circle, Jhansi 063625",Aizawl,508395,8/16/2023,Regular,19,1483.14
72768956,Lohit Sarna,ubikajani@example.org,9.17776E+11,"H.No. 32, Sastry Path
Kulti-914936",Agra,936066,1/12/2023,Inactive,2,630.75
84408816,Rajata Biswas,kapurjack@example.org,9.19587E+11,"H.No. 32, Banerjee Circle, Sasaram 579406",Patna,576145,6/12/2025,New,13,1938.65
19539062,Raagini Murty,bedisanya@example.com,9.13E+11,"H.No. 187, Shenoy Street, Firozabad-459642",Gandhinagar,197426,9/13/2024,Premium,3,582.36
19208818,Harshil Jain,qbrar@example.com,9.13189E+11,"H.No. 78, Rajan Path
Ambattur-207544",Kottayam,333814,2/11/2024,Premium,6,1763.24
